raceId,round,circuitId,name,date,time,url
50,15,16,Japanese Grand Prix,9/30/2007,4:30:00,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix
51,16,17,Chinese Grand Prix,10/7/2007,6:00:00,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
52,17,18,Brazilian Grand Prix,10/21/2007,16:00:00,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix
53,1,3,Bahrain Grand Prix,3/12/2006,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix
54,2,2,Malaysian Grand Prix,3/19/2006,15:00:00,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix
55,3,1,Australian Grand Prix,4/2/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix
56,4,21,San Marino Grand Prix,4/23/2006,14:00:00,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix
57,5,20,European Grand Prix,5/7/2006,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix
58,6,4,Spanish Grand Prix,5/14/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix
59,7,6,Monaco Grand Prix,5/28/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
60,8,9,British Grand Prix,6/11/2006,12:00:00,http://en.wikipedia.org/wiki/2006_British_Grand_Prix
61,9,7,Canadian Grand Prix,6/25/2006,13:00:00,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix
62,10,19,United States Grand Prix,7/2/2006,14:00:00,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix
63,11,8,French Grand Prix,7/16/2006,14:00:00,http://en.wikipedia.org/wiki/2006_French_Grand_Prix
64,12,10,German Grand Prix,7/30/2006,14:00:00,http://en.wikipedia.org/wiki/2006_German_Grand_Prix
65,13,11,Hungarian Grand Prix,8/6/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix
66,14,5,Turkish Grand Prix,8/27/2006,15:00:00,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix
67,15,14,Italian Grand Prix,9/10/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix
68,16,17,Chinese Grand Prix,10/1/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
69,17,22,Japanese Grand Prix,,14:00:00,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix
70,18,18,Brazilian Grand Prix,10/22/2006,14:00:00,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix
71,1,1,Australian Grand Prix,3/6/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix
72,2,2,Malaysian Grand Prix,3/20/2005,15:00:00,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix
73,3,3,Bahrain Grand Prix,4/3/2005,14:30:00,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix
74,4,21,San Marino Grand Prix,4/24/2005,14:00:00,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix
75,5,4,Spanish Grand Prix,5/8/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix
76,6,6,Monaco Grand Prix,5/22/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix
77,7,20,European Grand Prix,5/29/2005,14:00:00,http://en.wikipedia.org/wiki/2005_European_Grand_Prix
78,8,7,Canadian Grand Prix,6/12/2005,13:00:00,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix
79,9,19,United States Grand Prix,6/19/2005,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
80,10,8,French Grand Prix,7/3/2005,14:00:00,http://en.wikipedia.org/wiki/2005_French_Grand_Prix
81,11,9,British Grand Prix,7/10/2005,14:00:00,http://en.wikipedia.org/wiki/2005_British_Grand_Prix
82,12,10,German Grand Prix,7/24/2005,14:00:00,http://en.wikipedia.org/wiki/2005_German_Grand_Prix
83,13,11,Hungarian Grand Prix,7/31/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
84,14,5,Turkish Grand Prix,8/21/2005,15:00:00,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix
85,15,14,Italian Grand Prix,9/4/12005,14:00:00,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix
86,16,13,Belgian Grand Prix,9/11/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix
87,17,18,Brazilian Grand Prix,9/25/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix
88,18,22,Japanese Grand Prix,10/9/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix
89,19,17,Chinese Grand Prix,10/16/2005,14:00:00,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
90,1,1,Australian Grand Prix,3/7/2004,\N,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix
91,2,2,Malaysian Grand Prix,3/21/2004,\N,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix
92,3,3,Bahrain Grand Prix,4/4/2004,\N,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix
93,4,21,San Marino Grand Prix,4/25/2004,\N,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix
94,5,4,Spanish Grand Prix,5/9/2004,\N,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix
95,6,6,Monaco Grand Prix,5/23/2004,\N,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix
96,7,20,European Grand Prix,5/30/2004,\N,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
97,8,7,Canadian Grand Prix,6/13/2004,\N,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix
98,9,19,United States Grand Prix,6/20/2004,\N,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix
99,10,8,French Grand Prix,7/4/2004,\N,http://en.wikipedia.org/wiki/2004_French_Grand_Prix
100,11,9,British Grand Prix,7/11/2004,\N,http://en.wikipedia.org/wiki/2004_British_Grand_Prix
101,12,10,German Grand Prix,7/25/2004,\N,http://en.wikipedia.org/wiki/2004_German_Grand_Prix
102,13,11,Hungarian Grand Prix,8/15/2004,\N,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix
103,14,13,Belgian Grand Prix,8/29/2004,\N,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix
104,15,14,Italian Grand Prix,9/12/2004,\N,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
105,16,17,Chinese Grand Prix,,\N,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix
106,17,22,Japanese Grand Prix,10/10/2004,\N,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix
107,18,18,Brazilian Grand Prix,10/24/2004,\N,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix
108,1,1,Australian Grand Prix,3/9/2003,\N,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix
109,2,2,Malaysian Grand Prix,3/23/2003,\N,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix
110,3,18,Brazilian Grand Prix,4/6/2003,\N,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix
111,4,21,San Marino Grand Prix,4/20/2003,\N,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix
112,5,4,Spanish Grand Prix,5/4/2003,\N,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix
113,6,23,Austrian Grand Prix,5/18/2003,\N,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix
114,7,6,Monaco Grand Prix,6/1/2003,\N,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix
115,8,7,Canadian Grand Prix,6/15/2003,\N,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix
116,9,20,European Grand Prix,6/29/2003,\N,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
117,10,8,French Grand Prix,7/6/2003,\N,http://en.wikipedia.org/wiki/2003_French_Grand_Prix
118,11,9,British Grand Prix,7/20/2003,\N,http://en.wikipedia.org/wiki/2003_British_Grand_Prix
119,12,10,German Grand Prix,8/3/2003,\N,http://en.wikipedia.org/wiki/2003_German_Grand_Prix
120,13,11,Hungarian Grand Prix,8/24/2003,\N,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
121,14,14,Italian Grand Prix,9/14/2003,\N,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix
122,15,19,United States Grand Prix,9/28/2003,\N,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix
123,16,22,Japanese Grand Prix,10/12/2003,\N,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix
124,1,1,Australian Grand Prix,3/3/2002,\N,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
125,2,2,Malaysian Grand Prix,3/17/2002,\N,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
126,3,18,Brazilian Grand Prix,3/31/2002,\N,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
127,4,21,San Marino Grand Prix,4/14/2002,\N,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
128,5,4,Spanish Grand Prix,4/28/2002,\N,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
129,6,23,Austrian Grand Prix,5/12/2002,\N,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
130,7,6,Monaco Grand Prix,5/26/2002,\N,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
131,8,7,Canadian Grand Prix,6/9/2002,\N,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
132,9,20,European Grand Prix,6/23/2002,\N,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
133,10,9,British Grand Prix,7/7/2002,\N,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
134,11,8,French Grand Prix,7/21/2002,\N,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
135,12,10,German Grand Prix,7/28/2002,\N,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
136,13,11,Hungarian Grand Prix,8/18/2002,\N,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
137,14,13,Belgian Grand Prix,9/1/2002,\N,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
138,15,14,Italian Grand Prix,9/15/2002,\N,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix
139,16,19,United States Grand Prix,9/29/2002,\N,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix
140,17,22,Japanese Grand Prix,10/13/2002,\N,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix
141,1,1,Australian Grand Prix,3/4/2001,\N,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
142,2,2,Malaysian Grand Prix,3/18/2001,\N,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
143,3,18,Brazilian Grand Prix,4/1/2001,\N,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
144,4,21,San Marino Grand Prix,4/15/2001,\N,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
145,5,4,Spanish Grand Prix,4/29/2001,\N,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
146,6,23,Austrian Grand Prix,5/13/2001,\N,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
147,7,6,Monaco Grand Prix,5/27/2001,\N,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
148,8,7,Canadian Grand Prix,6/10/2001,\N,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
149,9,20,European Grand Prix,6/24/2001,\N,http://en.wikipedia.org/wiki/2001_European_Grand_Prix
150,10,8,French Grand Prix,7/1/2001,\N,http://en.wikipedia.org/wiki/2001_French_Grand_Prix
151,11,9,British Grand Prix,7/15/2001,\N,http://en.wikipedia.org/wiki/2001_British_Grand_Prix
152,12,10,German Grand Prix,7/29/2001,\N,http://en.wikipedia.org/wiki/2001_German_Grand_Prix
153,13,11,Hungarian Grand Prix,8/19/2001,\N,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
154,14,13,Belgian Grand Prix,9/2/2001,\N,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
155,15,14,Italian Grand Prix,9/16/2001,\N,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
156,16,19,United States Grand Prix,9/30/2001,\N,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
157,17,22,Japanese Grand Prix,10/14/2001,\N,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
158,1,1,Australian Grand Prix,3/12/2000,\N,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
159,2,18,Brazilian Grand Prix,3/26/2000,\N,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
160,3,21,San Marino Grand Prix,4/9/2000,\N,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
161,4,9,British Grand Prix,4/23/2000,\N,http://en.wikipedia.org/wiki/2000_British_Grand_Prix
162,5,4,Spanish Grand Prix,5/7/2000,\N,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
163,6,20,European Grand Prix,5/21/2000,\N,http://en.wikipedia.org/wiki/2000_European_Grand_Prix
164,7,6,Monaco Grand Prix,6/4/2000,\N,http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
165,8,7,Canadian Grand Prix,6/18/2000,\N,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
166,9,8,French Grand Prix,7/2/2000,\N,http://en.wikipedia.org/wiki/2000_French_Grand_Prix
167,10,23,Austrian Grand Prix,7/16/2000,\N,http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
168,11,10,German Grand Prix,7/30/2000,\N,http://en.wikipedia.org/wiki/2000_German_Grand_Prix
169,12,11,Hungarian Grand Prix,8/13/2000,\N,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
170,13,13,Belgian Grand Prix,8/27/2000,\N,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
171,14,14,Italian Grand Prix,9/10/2000,\N,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
172,15,19,United States Grand Prix,9/24/2000,\N,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
173,16,22,Japanese Grand Prix,10/8/2000,\N,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
174,17,2,Malaysian Grand Prix,10/22/2000,\N,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
175,1,1,Australian Grand Prix,3/7/1999,\N,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix
176,2,18,Brazilian Grand Prix,4/11/1999,\N,http://en.wikipedia.org/wiki/1999_Brazilian_Grand_Prix
177,3,21,San Marino Grand Prix,5/2/1999,\N,http://en.wikipedia.org/wiki/1999_San_Marino_Grand_Prix
178,4,6,Monaco Grand Prix,5/16/1999,\N,http://en.wikipedia.org/wiki/1999_Monaco_Grand_Prix
179,5,4,Spanish Grand Prix,5/30/1999,\N,http://en.wikipedia.org/wiki/1999_Spanish_Grand_Prix
180,6,7,Canadian Grand Prix,6/13/1999,\N,http://en.wikipedia.org/wiki/1999_Canadian_Grand_Prix
181,7,8,French Grand Prix,6/27/1999,\N,http://en.wikipedia.org/wiki/1999_French_Grand_Prix
182,8,9,British Grand Prix,7/11/1999,\N,http://en.wikipedia.org/wiki/1999_British_Grand_Prix
183,9,23,Austrian Grand Prix,7/25/1999,\N,http://en.wikipedia.org/wiki/1999_Austrian_Grand_Prix
184,10,10,German Grand Prix,8/1/1999,\N,http://en.wikipedia.org/wiki/1999_German_Grand_Prix
185,11,11,Hungarian Grand Prix,8/15/1999,\N,http://en.wikipedia.org/wiki/1999_Hungarian_Grand_Prix
186,12,13,Belgian Grand Prix,8/29/1999,\N,http://en.wikipedia.org/wiki/1999_Belgian_Grand_Prix
187,13,14,Italian Grand Prix,9/12/1999,\N,http://en.wikipedia.org/wiki/1999_Italian_Grand_Prix
188,14,20,European Grand Prix,9/26/1999,\N,http://en.wikipedia.org/wiki/1999_European_Grand_Prix
189,15,2,Malaysian Grand Prix,10/17/1999,\N,http://en.wikipedia.org/wiki/1999_Malaysian_Grand_Prix
190,16,22,Japanese Grand Prix,10/31/1999,\N,http://en.wikipedia.org/wiki/1999_Japanese_Grand_Prix
191,1,1,Australian Grand Prix,3/8/1998,\N,http://en.wikipedia.org/wiki/1998_Australian_Grand_Prix
192,2,18,Brazilian Grand Prix,3/29/1998,\N,http://en.wikipedia.org/wiki/1998_Brazilian_Grand_Prix
193,3,25,Argentine Grand Prix,4/12/1998,\N,http://en.wikipedia.org/wiki/1998_Argentine_Grand_Prix
194,4,21,San Marino Grand Prix,4/26/1998,\N,http://en.wikipedia.org/wiki/1998_San_Marino_Grand_Prix
195,5,4,Spanish Grand Prix,5/10/1998,\N,http://en.wikipedia.org/wiki/1998_Spanish_Grand_Prix
196,6,6,Monaco Grand Prix,5/24/1998,\N,http://en.wikipedia.org/wiki/1998_Monaco_Grand_Prix
197,7,7,Canadian Grand Prix,6/7/1998,\N,http://en.wikipedia.org/wiki/1998_Canadian_Grand_Prix
198,8,8,French Grand Prix,6/28/1998,\N,http://en.wikipedia.org/wiki/1998_French_Grand_Prix
199,9,9,British Grand Prix,7/12/1998,\N,http://en.wikipedia.org/wiki/1998_British_Grand_Prix
200,10,23,Austrian Grand Prix,7/26/1998,\N,http://en.wikipedia.org/wiki/1998_Austrian_Grand_Prix
201,11,10,German Grand Prix,8/2/1998,\N,http://en.wikipedia.org/wiki/1998_German_Grand_Prix
202,12,11,Hungarian Grand Prix,8/16/1998,\N,http://en.wikipedia.org/wiki/1998_Hungarian_Grand_Prix
203,13,13,Belgian Grand Prix,8/30/1998,\N,http://en.wikipedia.org/wiki/1998_Belgian_Grand_Prix
204,14,14,Italian Grand Prix,9/13/1998,\N,http://en.wikipedia.org/wiki/1998_Italian_Grand_Prix
205,15,20,Luxembourg Grand Prix,9/27/1998,\N,http://en.wikipedia.org/wiki/1998_Luxembourg_Grand_Prix
206,16,22,Japanese Grand Prix,11/1/1998,\N,http://en.wikipedia.org/wiki/1998_Japanese_Grand_Prix
207,1,1,Australian Grand Prix,3/9/1997,\N,http://en.wikipedia.org/wiki/1997_Australian_Grand_Prix
208,2,18,Brazilian Grand Prix,3/30/1997,\N,http://en.wikipedia.org/wiki/1997_Brazilian_Grand_Prix
209,3,25,Argentine Grand Prix,4/13/1997,\N,http://en.wikipedia.org/wiki/1997_Argentine_Grand_Prix
210,4,21,San Marino Grand Prix,4/27/1997,\N,http://en.wikipedia.org/wiki/1997_San_Marino_Grand_Prix
211,5,6,Monaco Grand Prix,5/11/1997,\N,http://en.wikipedia.org/wiki/1997_Monaco_Grand_Prix
212,6,4,Spanish Grand Prix,5/25/1997,\N,http://en.wikipedia.org/wiki/1997_Spanish_Grand_Prix
213,7,7,Canadian Grand Prix,6/15/1997,\N,http://en.wikipedia.org/wiki/1997_Canadian_Grand_Prix
214,8,8,French Grand Prix,6/29/1997,\N,http://en.wikipedia.org/wiki/1997_French_Grand_Prix
215,9,9,British Grand Prix,7/13/1997,\N,http://en.wikipedia.org/wiki/1997_British_Grand_Prix
216,10,10,German Grand Prix,7/27/1997,\N,http://en.wikipedia.org/wiki/1997_German_Grand_Prix
217,11,11,Hungarian Grand Prix,8/10/1997,\N,http://en.wikipedia.org/wiki/1997_Hungarian_Grand_Prix
218,12,13,Belgian Grand Prix,8/24/1997,\N,http://en.wikipedia.org/wiki/1997_Belgian_Grand_Prix
219,13,14,Italian Grand Prix,9/7/1997,\N,http://en.wikipedia.org/wiki/1997_Italian_Grand_Prix
220,14,23,Austrian Grand Prix,9/21/1997,\N,http://en.wikipedia.org/wiki/1997_Austrian_Grand_Prix
221,15,20,Luxembourg Grand Prix,9/28/1997,\N,http://en.wikipedia.org/wiki/1997_Luxembourg_Grand_Prix
222,16,22,Japanese Grand Prix,10/12/1997,\N,http://en.wikipedia.org/wiki/1997_Japanese_Grand_Prix
223,17,26,European Grand Prix,10/26/1997,\N,http://en.wikipedia.org/wiki/1997_European_Grand_Prix
224,1,1,Australian Grand Prix,3/10/1996,\N,http://en.wikipedia.org/wiki/1996_Australian_Grand_Prix
225,2,18,Brazilian Grand Prix,3/31/1996,\N,http://en.wikipedia.org/wiki/1996_Brazilian_Grand_Prix
226,3,25,Argentine Grand Prix,4/7/1996,\N,http://en.wikipedia.org/wiki/1996_Argentine_Grand_Prix
227,4,20,European Grand Prix,4/28/1996,\N,http://en.wikipedia.org/wiki/1996_European_Grand_Prix
228,5,21,San Marino Grand Prix,5/5/1996,\N,http://en.wikipedia.org/wiki/1996_San_Marino_Grand_Prix
229,6,6,Monaco Grand Prix,5/19/1996,\N,http://en.wikipedia.org/wiki/1996_Monaco_Grand_Prix
230,7,4,Spanish Grand Prix,6/2/1996,\N,http://en.wikipedia.org/wiki/1996_Spanish_Grand_Prix
231,8,7,Canadian Grand Prix,6/16/1996,\N,http://en.wikipedia.org/wiki/1996_Canadian_Grand_Prix
232,9,8,French Grand Prix,6/30/1996,\N,http://en.wikipedia.org/wiki/1996_French_Grand_Prix
233,10,9,British Grand Prix,7/14/1996,\N,http://en.wikipedia.org/wiki/1996_British_Grand_Prix
234,11,10,German Grand Prix,7/28/1996,\N,http://en.wikipedia.org/wiki/1996_German_Grand_Prix
235,12,11,Hungarian Grand Prix,8/11/1996,\N,http://en.wikipedia.org/wiki/1996_Hungarian_Grand_Prix
236,13,13,Belgian Grand Prix,8/25/1996,\N,http://en.wikipedia.org/wiki/1996_Belgian_Grand_Prix
237,14,14,Italian Grand Prix,9/8/1996,\N,http://en.wikipedia.org/wiki/1996_Italian_Grand_Prix
